24h_volume_usd;available_supply;id;last_updated;market_cap_usd;max_supply;name;percent_change_1h;percent_change_24h;percent_change_7d;price_btc;price_usd;rank;symbol;total_supply
22043900.0;31377500609.0;siacoin;1512549551;286625310.0;;Siacoin;13912;-4.11;37.69;7.3e-07;0.00913474;42;SC;31377500609.0
6531250.0;833032000.0;golem-network-tokens;1512549565;284913605.0;;Golem;-0.2;-6.03;19419;2.733e-05;0.34202;43;GNT;1000000000.0
4484240.0;452552412.0;maidsafecoin;1512549544;283377459.0;;MaidSafeCoin;43499;30011;16.14;5.004e-05;0.626176;44;MAID;452552412.0
6482290.0;55064489.0;pivx;1512549553;272915025.0;;PIVX;-0.85;-8.1;43517;0.00039611;4.95628;45;PIVX;55064489.0
13181900.0;104661310.0;tenx;1512549570;264436219.0;;TenX;43525;-8.19;-2.45;0.00020193;2.52659;46;PAY;205218256.0
55458000.0;99014000.0;binance-coin;1512549572;243443742.0;;Binance Coin;-2.6;-5.51;25.37;0.0001965;2.45868;47;BNB;199013968.0
16860600.0;3470483788.0;status;1512549570;242604169.0;;Status;0.55;-4.51;23.69;5.59e-06;0.069905;48;SNT;6804870174.0
35644800.0;351089370.0;power-ledger;1512549582;233054177.0;;Power Ledger;43587;-6.72;42309;5.305e-05;0.663803;49;POWR;1000000000.0
19655100.0;24898178.0;walton;1512549579;219556117.0;100000000.0;Walton;0.72;-11.92;53.09;0.00070476;8.81816;50;WTC;70000000.0
7980280.0;8745102.0;factom;1512549551;214865407.0;;Factom;0.39;-2.74;0.83;0.00196365;24.5698;51;FCT;8745102.0
2261810.0;2000000.0;digixdao;1512549554;212642000.0;;DigixDAO;-0.06;-11.71;-4.99;0.00849734;106.321;52;DGD;2000000.0
20290700.0;529352682.0;syscoin;1512549546;207670351.0;888000000.0;Syscoin;0.79;20455;33.43;3.135e-05;0.39231;53;SYS;529352682.0
9092010.0;1000000000.0;basic-attention-token;1512549567;196173000.0;;Basic Attention Token;-1.39;-5.5;0.59;1.568e-05;0.196173;54;BAT;1500000000.0
40779100.0;60522560.0;santiment;1512549574;195558680.0;;Santiment Network Token;-0.33;25.24;163.78;0.00025824;3.23117;55;SAN;83337000.0
1526040.0;24798538.0;exchange-union;1512549581;186157168.0;;Exchange Union;43649;19054;-18.61;0.00059995;7.50678;56;XUC;3000000000.0
118174.0;1288862.0;bitcoindark;1512549548;182367555.0;;BitcoinDark;-0.49;-6.33;0.89;0.0113085;141.495;57;BTCD;1288862.0
18591500.0;134132697.0;kyber-network;1512549577;177107472.0;;Kyber Network;-1.32;-9.24;43569;0.00010553;1.32039;58;KNC;215625349.0
976927.0;645222.0;byteball;1512549561;176306281.0;;Byteball Bytes;43647;-2.78;0.04;0.0218385;273.249;59;GBYTE;1000000.0
193561.0;44997423.0;cryptonex;1512549579;174590449.0;210000000.0;Cryptonex;-0.12;17472;62.62;0.0003101;3.88001;60;CNX;106435048.0
20608000.0;3592264.0;zcoin;1512549559;172498713.0;;ZCoin;43466;43575;43627;0.0038378;48.0195;61;XZC;3592264.0
5993600.0;987000000.0;bytom;1512549573;170404563.0;;Bytom;33817;36.11;40.65;1.38e-05;0.172649;62;BTM;1407000000.0
23182100.0;277162633.0;vechain;1512549575;166675353.0;;VeChain;16469;43513;124.1;4.806e-05;0.601363;63;VEN;867162633.0
1771040.0;8597035.0;gas;1512549571;165337325.0;100000000.0;Gas;-0.77;-8.81;-6.76;0.00153704;19.2319;64;GAS;11822072.0
1568200.0;99788314.0;iconomi;1512549560;154307660.0;;Iconomi;-1.04;-4.75;45717;0.00012359;1.54635;65;ICN;99788314.0
1242170.0;171964583.0;pura;1512549549;149006967.0;350000000.0;Pura;0.94;37.75;42.46;6.925e-05;0.866498;66;PURA;178747077.0
13838000.0;65748192475.0;tron;1512549576;148853908.0;;TRON;-0.54;19480;-7.85;1.8e-07;0.002264;67;TRX;100000000000.0
10888200.0;9509330038.0;digibyte;1512549542;142196816.0;;DigiByte;22647;-4.95;13.21;1.2e-06;0.0149534;68;DGB;9509330038.0
4409070.0;1104590.0;gnosis-gno;1512549567;141235087.0;;Gnosis;0.57;-8.57;13.35;0.010219;127.862;69;GNO;10000000.0
12576900.0;50148936.0;raiden-network-token;1512549585;139995268.0;;Raiden Network Token;-4.96;-14.16;-29.9;0.00022311;2.79159;70;RDN;100000000.0
3974270.0;64355352.0;gamecredits;1512549547;134581199.0;;GameCredits;-0.69;-6.22;-0.34;0.00016713;2.09122;71;GAME;64355352.0
996580.0;233020472.0;aeternity;1512549567;133369500.0;;Aeternity;-0.88;-7.03;0.52;4.574e-05;0.572351;72;AE;273685830.0
118313000.0;10722876.0;monaco;1512549571;128197347.0;;Monaco;-0.46;-13.84;71.89;0.0009555;2796237;73;MCO;31587682.0
2182070.0;4249873622.0;funfair;1512549570;128046142.0;;FunFair;-0.32;-7.51;15797;2.41e-06;0.0301294;74;FUN;10999873621.0
7877240.0;342700000.0;civic;1512549577;124200306.0;;Civic;17533;-12.84;43282;2.896e-05;0.362417;75;CVC;1000000000.0
1260370.0;4914936.0;blocknet;1512549547;116844240.0;;Blocknet;0.14;-8.76;0.64;0.0019;23.7733;76;BLOCK;4914936.0
20307300.0;62126977.0;nav-coin;1512549544;113842716.0;;NAV Coin;42186;32.6;60.99;0.00014645;1.83242;77;NAV;62126977.0
10565200.0;19300994.0;metal;1512549571;113436381.0;;Metal;-0.66;-11.57;42948;0.00046972;5.87723;78;MTL;66588888.0
4825940.0;500000000.0;0x;1512549574;112709000.0;;0x;1.0;43525;22678;1.802e-05;0.225418;79;ZRX;1000000000.0
381271.0;3000000.0;minexcoin;1512549582;112591500.0;19000000.0;MinexCoin;0.17;-15.06;39.11;0.0029995;37.5305;80;MNX;6000000.0
12486600.0;677154514.0;streamr-datacoin;1512549585;112114441.0;;Streamr DATAcoin;43687;59.24;38.07;1.323e-05;0.165567;81;DATA;987154514.0
1311550.0;75166627.0;ethos;1512549572;110553572.0;;Ethos;-2.42;-4.9;-3.88;0.00011755;1.47078;82;ETHOS;222295208.0
7993420.0;40772871.0;bancor;1512549570;109290864.0;;Bancor;0.74;-7.5;-0.61;0.00021423;2.68048;83;BNT;79384422.0
5540060.0;14350693776.0;verge;1512549547;107929559.0;16555000000.0;Verge;-0.85;-5.26;19.36;0;0.00752086;84;XVG;14350693776.0
12939000.0;350000000.0;chainlink;1512549577;105619850.0;;ChainLink;44256;31.29;79.22;2.412e-05;0.301771;85;LINK;1000000000.0
13740900.0;82046288.0;edgeless;1512549566;103099366.0;;Edgeless;11780;-15.06;55.75;0.00010043;243254;86;EDG;132046997.0
6677970.0;40510000.0;gxshares;1512549571;101888727.0;100000000.0;GXShares;-0.08;-8.29;-19.0;0.00020101;2.51515;87;GXS;100000000.0
11971700.0;105413683.0;storj;1512549570;101512007.0;;Storj;-0.57;-11.45;24.81;7.696e-05;0.962987;88;STORJ;424999998.0
131547000.0;211436247.0;yoyow;1512549575;99842099.0;1000000000.0;YOYOW;43656;119.59;547.12;3.774e-05;0.472209;89;YOYOW;300000000.0
4763060.0;218891938.0;potcoin;1512549542;98917924.0;420000000.0;PotCoin;13881;43647;45.81;3.612e-05;0.451903;90;POT;218891938.0
6820380.0;54207428.0;nexus;1512549549;98455326.0;;Nexus;32143;-5.97;30.48;0.00014516;1.81627;91;NXS;54207428.0
168837.0;6000000.0;skycoin;1512549565;93767400.0;100000000.0;Skycoin;27851;31291;82.61;0.00124901;15.6279;92;SKY;25000000.0
6100720.0;36570841.0;metaverse;1512549569;93117040.0;100000000.0;Metaverse ETP;-0.12;-9.86;-31.57;0.0002035;2.54621;93;ETP;55970841.0
3388500.0;600000000.0;singulardtv;1512549558;87779400.0;;SingularDTV;-2.0;-12.46;0.42;1.169e-05;0.146299;94;SNGLS;1000000000.0
5632550.0;226091449.0;substratum;1512549577;86691149.0;;Substratum;-1.23;0.48;20333;3.064e-05;0.383434;95;SUB;352000000.0
3850610.0;39158175.0;ubiq;1512549546;85364039.0;;Ubiq;43466;-4.61;43663;0.00017423;2.17998;96;UBQ;39158175.0
3104980.0;2617465.0;counterparty;1512549542;82764258.0;;Counterparty;-1.66;43542;16.33;0.00252712;31.62;97;XCP;2617465.0
3133850.0;300000000.0;achain;1512549575;82251300.0;1000000000.0;Achain;45292;17.23;31.61;2.191e-05;0.274171;98;ACT;1000000000.0
94147.0;181963195.0;rchain;1512549578;81869245.0;1000000000.0;RChain;-0.12;22.41;85.89;3.596e-05;0.449922;99;RHOC;870663574.0
4178670.0;2455648.0;zencash;1512549570;81389749.0;21000000.0;ZenCash;-2.25;-8.47;0.42;0.00264892;33.1439;100;ZEN;2455648.0
6274400.0;68947284.0;groestlcoin;1512549544;81008922.0;105000000.0;Groestlcoin;-0.22;-9.25;77.18;9.39e-05;1.17494;101;GRS;68947284.0
9087530.0;60248315.0;adx-net;1512549571;80323656.0;100000000.0;AdEx;35065;-8.37;-1.49;0.00010655;1.33321;102;ADX;100000000.0
112354.0;263386381.0;lykke;1512549560;76274589.0;;Lykke;0.02;-0.14;-12.14;2.314e-05;0.289592;103;LKK;1285690000.0
9663130.0;286170756.0;loopring;1512549576;75848986.0;;Loopring;-0.23;-13.58;20.81;2.118e-05;0.265048;104;LRC;1395076054.0
3830710.0;24491917.0;peercoin;1512549541;75332238.0;;Peercoin;-0.76;-11.85;-12.0;0.00024582;3.0758;105;PPC;24491917.0
836227.0;7795823.0;particl;1512549573;73167543.0;;Particl;-0.41;-0.25;43527;0.0007501;9.38548;106;PART;8791823.0
4586080.0;1008037026.0;bitbay;1512549548;73000832.0;;BitBay;42736;-14.3;20880;5.79e-06;0.0724188;107;BAY;1008037026.0
17623600.0;617314171.0;quantstamp;1512549586;71588690.0;;Quantstamp;-1.48;-9.44;-8.44;9.27e-06;0.115968;108;QSP;976442388.0
11073400.0;2147483647.0;safe-exchange-coin;1512549553;71477705.0;2147483647.0;Safe Exchange Coin;22494;78.58;185.76;2.66e-06;0.0332844;109;SAFEX;2147483647.0
14517600.0;485142647.0;ripio-credit-network;1512549587;66561571.0;;Ripio Credit Network;0.44;-9.11;42491;1.097e-05;0.1372;110;RCN;999942647.0
34106.2;53193831.0;faircoin;1512549543;66557718.0;;FairCoin;-1.75;-3.45;17502;0.0001;1.25123;111;FAIR;53193831.0
1662780.0;32527201.0;aragon;1512549566;66050385.0;;Aragon;-0.47;-10.66;-10.06;0.00016229;2.03062;112;ANT;39609524.0
362366.0;98028887.0;mobilego;1512549569;64120107.0;;MobileGo;0.07;-4.89;43688;5.228e-05;0.654094;113;MGO;100000000.0
875033.0;52000000.0;quantum-resistant-ledger;1512549567;63984440.0;105000000.0;Quantum Resistant Ledger;0.68;-2.55;21885;9.834e-05;1.23047;114;QRL;65000000.0
9643510.0;640739733.0;request-network;1512549581;62953191.0;;Request Network;11689;-8.79;34.36;7.85e-06;0.0982508;115;REQ;999999999.0
932084.0;133248290.0;raiblocks;1512549563;62022948.0;133248290.0;RaiBlocks;20210;21.19;108.56;3.72e-05;0.465469;116;XRB;133248290.0
1038040.0;184450000.0;revain;1512549583;60642918.0;484450000.0;Revain;-2.36;21.13;39.03;2.628e-05;0.328777;117;R;484450000.0
1188140.0;184038360.0;feathercoin;1512549541;59807314.0;336000000.0;Feathercoin;-0.43;-11.53;-8.73;2.597e-05;0.324972;118;FTC;184038360.0
994762.0;89708333.0;wings;1512549563;59136540.0;;Wings;-0.76;-0.75;21794;5.269e-05;0.659209;119;WINGS;100000000.0
4441490.0;22915183.0;viacoin;1512549545;58001078.0;23000000.0;Viacoin;0.96;27061;33.42;0.00020229;2.53112;120;VIA;22915183.0
3921120.0;2273755650.0;decentraland;1512549576;57634931.0;;Decentraland;-4.65;43490;42.4;2.03e-06;0.0253479;121;MANA;2805886393.0
4958990.0;100000000.0;mercury;1512549565;56782700.0;;Mercury;0.49;43679;162.61;4.538e-05;0.567827;122;MER;100000000.0
144026.0;261225880.0;cobinhood;1512549578;56467631.0;;Cobinhood;17199;13728;65.46;1.728e-05;0.216164;123;COB;1000000000.0
54252.3;3745253092.0;attention-token-of-media;1512549578;56219994.0;;ATMChain;-11.45;-14.05;-20.48;1.2e-06;0.015011;124;ATM;10000000000.0
21060.0;756097560976.0;kin;1512549580;54670390.0;;Kin;-0.18;12693;17.62;0;7.2306e-05;125;KIN;10000000000000.0
434278.0;16393936.0;iocoin;1512549547;53000285.0;;I/O Coin;-0.24;-3.33;-13.95;0.00025838;3.23292;126;IOC;16393936.0
912737.0;91043076.0;kucoin-shares;1512549581;52471675.0;;KuCoin Shares;43561;-4.96;13.97;4.606e-05;0.576339;127;KCS;181043076.0
149236.0;82500000.0;paypie;1512549579;52337093.0;165000000.0;PayPie;-0.12;-8.08;-6.97;5.07e-05;0.634389;128;PPP;165000000.0
5888790.0;79070793.0;rlc;1512549568;52283664.0;;iExec RLC;43650;-17.26;45170;5.285e-05;0.661226;129;RLC;86999785.0
2021790.0;359600000.0;sonm;1512549568;52283323.0;;SONM;0.71;0.19;47088;1.162e-05;0.145393;130;SNM;444000000.0
